LTLA/NHS,pop,pop_dens,cases,cases_100k,deaths,deaths_100k,mortality,PM25_sat_mean,NO2_sat_mean,Z-score,p-value,q-value
Dorset,376484,151,363,96,150,40,41,9.104692302,3.54000001,-0.871511892,0.392,4
Dover,116969,371,391,334,71,61,18,13.87276317,8.299666643,-2.276310533,0.004,2
Dudley,320626,3270,878,274,266,83,30,11.10087723,4.636999846,0.097954996,0.97,1
Dumfries and Galloway,148790,23,260,175,47,32,18,5.104881776,1.854232559,3.710426403,0.006,3
Ealing,341982,6154,1202,351,381,111,32,14.29384733,9.618542547,2.95150147,0.002,1
East Cambridgeshire,89362,137,113,126,45,50,40,11.60603951,5.156916559,1.01317438,0.308,1
East Devon,144317,177,140,97,41,28,29,7.884955183,2.419393951,-2.235922495,0.042,4
East Hampshire,120681,234,273,226,75,62,27,10.86612438,4.82655557,-0.725258026,0.46,2
East Hertfordshire,148105,311,264,178,94,63,36,11.78194146,7.222222169,1.547459752,0.086,1
East Lindsey,140741,80,160,114,42,30,26,11.53573408,6.803529459,-0.676047019,0.532,2
East Northamptonshire,93906,184,197,210,69,73,35,11.39936937,5.008761815,1.15425499,0.218,1
East Riding of Yorkshire,339614,141,909,268,215,63,24,10.62073569,8.689999866,-0.015463786,0.994,2
East Staffordshire,118574,304,318,268,135,114,42,10.89657235,5.078133297,0.199269535,0.902,1
East Suffolk,248249,197,608,245,176,71,29,12.45414213,7.520708352,1.105135087,0.264,1
Eastbourne,103160,2336,151,146,60,58,40,14.86879703,4.419910143,0.434759568,0.74,1
Eastleigh,131819,1651,268,203,85,64,32,11.29494954,5.045170919,0.135114668,1,1
Eden,52881,25,104,197,36,68,35,5.98665684,2.576712654,-3.984645018,0.002,4
Elmbridge,136626,1418,258,189,88,64,34,12.74398495,7.416999817,2.388025047,0.01,1
Enfield,333869,4060,886,265,365,109,41,13.43881582,9.311666489,2.155404423,0.026,1
Epping Forest,131137,387,355,271,170,130,48,12.14353417,8.599732971,2.764703187,0.002,1
Epsom and Ewell,79928,2344,203,254,72,90,35,12.90562205,7.706523049,1.509315415,0.116,1
Erewash,115490,1053,187,162,71,61,38,12.32428309,5.96933341,1.487269026,0.122,1
