province,prefecture,pop,pop_dens,cases,cases_100k,deaths,deaths_100k,mortality,PM25_sat,NO2_sat,PM25_gr,PM10_gr,CO_gr,NO2_gr,O3_gr,SO2_gr,Z-score,p-value,q-value
Henan,Pingdingshan,5027700,638.0715342,58,1.153609006,1,0.01988981,1.724137931,44.4777256,3.03386668,151.8598097,94.09603065,10.59371737,20.51945213,33.70203597,25.63723193,-2.437437088,0.014,2
Henan,Hebi,1627300,755.707787,19,1.167578197,0,0,0,55.75089352,5.591900039,142.1848596,91.07967179,14.84962666,22.25785117,24.16684379,21.93769201,-2.024348125,0.052,2
Henan,Shangqiu,7325300,683.6522215,91,1.242269941,3,0.040953954,3.296703297,58.15483148,3.433090346,135.4886364,72.55519481,6.883169935,15.58198052,31.04493464,12.48782468,-4.114129991,0.002,2
Henan,Luohe,2665300,1007.416203,36,1.35069223,0,0,0,54.74549384,3.370261899,,,,,,,-2.607081816,0.012,2
Henan,Zhengzhou,10136000,1347.839206,157,1.548934491,5,0.049329124,3.184713376,52.54770192,6.185789482,157.1779282,107.3988126,14.31078017,24.65351315,23.11324547,17.60493008,-2.873695711,0.008,2
Henan,Nanyang,10013600,377.120584,156,1.557881281,3,0.029959255,1.923076923,37.28930012,1.55178729,139.2776416,96.78605727,10.86240485,13.80796347,36.49116951,12.30397305,-0.937436256,0.352,2
Henan,Zhumadian,7036600,465.9856091,139,1.97538584,0,0,0,48.37585843,2.239270271,,,,,,,-2.831337194,0.01,2
Henan,Xinyang,6474100,342.4625768,274,4.232248498,2,0.030892325,0.729927007,45.43281546,1.712998118,,,,,,,-2.651676231,0.014,2
Hong Kong SAR,Hong Kong,7451000,6598.009377,1065,12.88417662,4,0.053684069,0.416666667,25.49308503,6.194095203,92.08088765,46.09829746,10.1357221,16.53528685,27.86990432,4.103806768,-0.1034853,0.992,4
Hubei,Shennongjia,1687005,522.4457675,11,0.652043118,0,0,0,18.97078364,0.348078432,110.7121518,45.24093148,5.291632819,6.858295964,22.88609647,5.633333333,0.41056823,0.698,3
Hubei,Enshi Tujia and Miao,3361000,138.9706966,252,7.497768521,7,0.208271348,2.777777778,22.89703412,0.450480825,130.6506463,64.98525496,10.40797649,11.38534423,17.13548781,10.02805043,-0.31647462,0.766,4
Hubei,Shiyan,3418000,144.6487582,672,19.66062025,8,0.234055003,1.19047619,23.4244204,0.589537118,107.7453533,52.16226451,6.998217289,10.01351167,17.9806176,10.36234831,-0.529090015,0.61,4
Hubei,Xiangfan,5654000,286.612579,1175,20.78174744,40,0.689777149,3.319148936,35.13233535,1.279012481,133.7317756,72.66396441,8.534774104,13.71675364,36.92962391,10.20686956,0.327344519,0.71,1
Hubei,Yichang,4135600,194.3814732,931,22.51184834,37,0.870490376,3.866809882,28.3900983,0.873792296,120.6965631,68.13147972,9.655879357,15.79796348,23.15123824,14.24183129,0.732790543,0.462,1
Hubei,Jingzhou,5641700,400.2757739,1580,28.00574295,52,0.921707996,3.291139241,49.49500238,1.554777775,113.1739101,62.00341603,10.44706482,13.43997271,31.4553938,12.44053598,2.76247867,0.004,1
Hubei,Jingmen,2901500,235.0124872,928,31.98345683,41,1.413062209,4.418103448,45.04178683,1.429096045,145.7856894,88.92485697,9.086226061,15.51296623,29.22557684,16.05276145,2.416081106,0.03,1
Hubei,Xianning,2535100,260.0305903,836,32.97700288,15,0.591692635,1.794258373,42.29556414,1.171386365,130.2898103,68.72579483,12.75361544,10.49619082,25.17331524,7.645872561,2.160016534,0.04,1
Hubei,Huangshi,2470500,539.0257616,1015,41.08480065,39,1.578627808,3.842364532,43.79595525,2.203720924,145.8273312,80.52896978,15.44345549,18.45840674,20.56396763,14.56186091,2.047869554,0.056,1
Hubei,Qianjiang,437757,216.3224618,198,45.23057313,9,2.055935142,4.545454545,52.79940872,1.332740717,147.5289492,77.79343034,8.658100825,13.75497521,23.05494195,13.2273041,2.566011489,0.016,1
